locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHINPGCH_01035	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
IHINPGCH_01036	CDS	528	priC		COG3923	Primosomal replication protein N''
IHINPGCH_01037	CDS	162				hypothetical protein
IHINPGCH_01038	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
IHINPGCH_01039	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
IHINPGCH_01040	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
IHINPGCH_01041	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
IHINPGCH_01042	CDS	375	tomB			Hha toxicity modulator TomB
IHINPGCH_01043	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
IHINPGCH_01044	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
IHINPGCH_01045	CDS	471	ylaC			Inner membrane protein YlaC
IHINPGCH_01046	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
IHINPGCH_01047	CDS	354	ybaA		COG5507	putative protein YbaA
IHINPGCH_01048	CDS	312	atl		COG3695	DNA base-flipping protein
IHINPGCH_01049	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
IHINPGCH_01050	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
IHINPGCH_01051	CDS	1287	amtB			Ammonia channel
IHINPGCH_01052	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
IHINPGCH_01053	CDS	1782	mdlB	3.6.3.44	COG1132	Multidrug resistance-like ATP-binding protein MdlB
IHINPGCH_01054	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
IHINPGCH_01055	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
IHINPGCH_01056	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
IHINPGCH_01057	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
IHINPGCH_01058	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
IHINPGCH_01059	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
IHINPGCH_01060	CDS	372			COG1555	putative protein
IHINPGCH_01061	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
IHINPGCH_01062	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
IHINPGCH_01063	CDS	2355	lon_2	3.4.21.53	COG0466	Lon protease
IHINPGCH_01064	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
IHINPGCH_01065	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
IHINPGCH_01066	CDS	1299	tig	5.2.1.8		Trigger factor
IHINPGCH_01067	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
IHINPGCH_01068	CDS	579				hypothetical protein
IHINPGCH_01069	CDS	1476	ampG_1		COG0477	Protein AmpG
IHINPGCH_01070	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
IHINPGCH_01071	CDS	1992	cyoB	1.10.3.10	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
IHINPGCH_01072	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
IHINPGCH_01073	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
IHINPGCH_01074	CDS	891	cyoE	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
IHINPGCH_01075	CDS	312				hypothetical protein
IHINPGCH_01076	CDS	543				hypothetical protein
IHINPGCH_01077	CDS	972	esiB_2			Secretory immunoglobulin A-binding protein EsiB
IHINPGCH_01078	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
IHINPGCH_01079	CDS	492				hypothetical protein
IHINPGCH_01080	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
IHINPGCH_01081	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
IHINPGCH_01082	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
IHINPGCH_01083	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
IHINPGCH_01084	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
IHINPGCH_01085	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
IHINPGCH_01086	CDS	975	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
IHINPGCH_01087	CDS	519	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
IHINPGCH_01088	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
IHINPGCH_01089	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
IHINPGCH_01090	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
IHINPGCH_01091	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
IHINPGCH_01092	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
IHINPGCH_01093	CDS	114	yajI_1			putative lipoprotein YajI
IHINPGCH_01094	CDS	423	yajI_2			putative lipoprotein YajI
IHINPGCH_01095	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
IHINPGCH_01096	CDS	348				hypothetical protein
IHINPGCH_01097	CDS	972	secF		COG0341	Protein translocase subunit SecF
IHINPGCH_01098	CDS	1815	secD		COG0342	Protein translocase subunit SecD
IHINPGCH_01099	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
IHINPGCH_01100	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
IHINPGCH_01101	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
IHINPGCH_01102	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
IHINPGCH_01103	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
IHINPGCH_01104	CDS	1374	proY		COG1113	Proline-specific permease ProY
IHINPGCH_01105	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
IHINPGCH_01106	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
IHINPGCH_01107	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
IHINPGCH_01108	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
IHINPGCH_01109	CDS	3144	sbcC		COG0419	Nuclease SbcCD subunit C
IHINPGCH_01110	CDS	1269	araJ		COG2814	Putative transporter AraJ
IHINPGCH_01111	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
IHINPGCH_01112	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
IHINPGCH_01113	CDS	363				hypothetical protein
IHINPGCH_01114	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
IHINPGCH_01115	CDS	678				hypothetical protein
IHINPGCH_01116	CDS	192	yaiA			putative protein YaiA
IHINPGCH_01117	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
IHINPGCH_01118	CDS	459				hypothetical protein
IHINPGCH_01119	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IHINPGCH_01120	CDS	1116	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
IHINPGCH_01121	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
IHINPGCH_01122	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
IHINPGCH_01123	CDS	261	iraP			Anti-adapter protein IraP
IHINPGCH_01124	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
IHINPGCH_01125	CDS	213				hypothetical protein
IHINPGCH_01126	CDS	309	yaiY			Inner membrane protein YaiY
IHINPGCH_01127	CDS	1095				hypothetical protein
IHINPGCH_01128	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
IHINPGCH_01129	CDS	102				hypothetical protein
IHINPGCH_01130	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
IHINPGCH_01131	CDS	624				hypothetical protein
IHINPGCH_01132	CDS	2889	prn		COG3468	Pertactin autotransporter
IHINPGCH_01133	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
IHINPGCH_01134	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
IHINPGCH_01135	CDS	828	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IHINPGCH_01136	CDS	768	tauB	3.6.3.36	COG4525	Taurine import ATP-binding protein TauB
IHINPGCH_01137	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
IHINPGCH_01138	CDS	672	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
IHINPGCH_01139	CDS	1197	icaA	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
IHINPGCH_01140	CDS	774				hypothetical protein
IHINPGCH_01141	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
IHINPGCH_01142	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
IHINPGCH_01143	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
IHINPGCH_01144	CDS	540				hypothetical protein
IHINPGCH_01145	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
IHINPGCH_01146	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
IHINPGCH_01147	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
IHINPGCH_01148	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
IHINPGCH_01149	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
IHINPGCH_01150	CDS	945	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
IHINPGCH_01151	CDS	1665	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
IHINPGCH_01152	CDS	948	yiaJ_1		COG1414	DNA-binding transcriptional repressor YiaJ
IHINPGCH_01153	CDS	1092	lacI		COG1609	Lactose operon repressor
IHINPGCH_01154	CDS	3075	lacZ	3.2.1.23	COG3250	Beta-galactosidase
IHINPGCH_01155	CDS	1254	lacY			Lactose permease
IHINPGCH_01156	CDS	606	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
IHINPGCH_01157	CDS	1182	yycB		COG2807	putative transporter YycB
IHINPGCH_01158	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
IHINPGCH_01159	CDS	660	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
IHINPGCH_01160	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
IHINPGCH_01161	CDS	1284	codA	3.5.4.1	COG0402	Cytosine deaminase
IHINPGCH_01162	CDS	1260	codB		COG1457	Cytosine permease
IHINPGCH_01163	CDS	1887	acs_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IHINPGCH_01164	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
IHINPGCH_01165	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
IHINPGCH_01166	CDS	891	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
IHINPGCH_01167	CDS	1587	prpR		COG1221	Propionate catabolism operon regulatory protein
IHINPGCH_01168	CDS	276	bhsA_2			Multiple stress resistance protein BhsA
IHINPGCH_01169	CDS	633	rhtC_1		COG1280	Threonine efflux protein
IHINPGCH_01170	tRNA	81				tRNA-Ser(gga)
IHINPGCH_01171	CDS	816				hypothetical protein
IHINPGCH_01172	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
IHINPGCH_01173	CDS	957	lsrD_1			Autoinducer 2 import system permease protein LsrD
IHINPGCH_01174	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
IHINPGCH_01175	CDS	1485	fruK_2	3.6.3.17	COG1129	Fructose import ATP-binding protein FruK
IHINPGCH_01176	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
IHINPGCH_01177	CDS	411				hypothetical protein
IHINPGCH_01178	CDS	924	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
IHINPGCH_01179	CDS	387				hypothetical protein
IHINPGCH_01180	CDS	951	arcC2	2.7.2.2		Carbamate kinase 2
IHINPGCH_01181	CDS	1419				hypothetical protein
IHINPGCH_01182	CDS	1548	fdrA_2		COG0074	Protein FdrA
IHINPGCH_01183	CDS	864				hypothetical protein
IHINPGCH_01184	CDS	606				hypothetical protein
IHINPGCH_01185	CDS	498				hypothetical protein
IHINPGCH_01186	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
IHINPGCH_01187	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
IHINPGCH_01188	CDS	3984	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
IHINPGCH_01189	CDS	2034	betT		COG1292	High-affinity choline transport protein
IHINPGCH_01190	CDS	588	betI		COG1309	HTH-type transcriptional regulator BetI
IHINPGCH_01191	CDS	1473	betB	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
IHINPGCH_01192	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
IHINPGCH_01193	CDS	666				hypothetical protein
IHINPGCH_01194	CDS	696	lutC		COG1556	Lactate utilization protein C
IHINPGCH_01195	CDS	1428	lutB		COG1139	Lactate utilization protein B
IHINPGCH_01196	CDS	720	lutA_1		COG0247	Lactate utilization protein A
IHINPGCH_01197	CDS	855	rclR_1		COG2207	RCS-specific HTH-type transcriptional activator RclR
IHINPGCH_01198	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
IHINPGCH_01199	CDS	594	rclC		COG3059	Inner membrane protein RclC
IHINPGCH_01200	CDS	858	rob_1		COG2207	Right origin-binding protein
IHINPGCH_01201	CDS	4254				Invasin
IHINPGCH_01202	CDS	102	ykgR			putative membrane protein YkgR
IHINPGCH_01203	CDS	267	ykgM		COG0254	50S ribosomal protein L31 type B
IHINPGCH_01204	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
IHINPGCH_01205	CDS	543	ecpR_1			HTH-type transcriptional regulator EcpR
IHINPGCH_01206	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
IHINPGCH_01207	CDS	669	ecpB			putative fimbrial chaperone EcpB
IHINPGCH_01208	CDS	2526	ecpC			putative outer membrane usher protein EcpC
IHINPGCH_01209	CDS	1644	ecpD			Fimbria adhesin EcpD
IHINPGCH_01210	CDS	711	ecpE			putative fimbrial chaperone EcpE
IHINPGCH_01211	CDS	615	yagU_2		COG3477	Inner membrane protein YagU
IHINPGCH_01212	CDS	690	yagT		COG2080	Putative xanthine dehydrogenase YagT iron-sulfur-binding subunit
IHINPGCH_01213	CDS	957	yagS	1.17.1.4	COG1319	Putative xanthine dehydrogenase YagS FAD-binding subunit
IHINPGCH_01214	CDS	2199	yagR	1.17.1.4	COG1529	Putative xanthine dehydrogenase YagR molybdenum-binding subunit
IHINPGCH_01215	CDS	957				hypothetical protein
IHINPGCH_01216	CDS	411	pgrR_2			HTH-type transcriptional regulator PgrR
IHINPGCH_01217	CDS	96				hypothetical protein
IHINPGCH_01218	CDS	981				hypothetical protein
IHINPGCH_01219	CDS	984	recF_2			DNA replication and repair protein RecF
IHINPGCH_01220	CDS	528				hypothetical protein
IHINPGCH_01221	CDS	273				hypothetical protein
IHINPGCH_01222	CDS	168				hypothetical protein
IHINPGCH_01223	CDS	324				hypothetical protein
IHINPGCH_01224	CDS	1143				hypothetical protein
IHINPGCH_01225	CDS	123				hypothetical protein
IHINPGCH_01226	CDS	288				hypothetical protein
IHINPGCH_01227	CDS	558	finO_1			Fertility inhibition protein
IHINPGCH_01228	CDS	2133				hypothetical protein
IHINPGCH_01229	CDS	291				hypothetical protein
IHINPGCH_01230	CDS	201				hypothetical protein
IHINPGCH_01231	CDS	366				hypothetical protein
IHINPGCH_01232	CDS	1569				hypothetical protein
IHINPGCH_01233	CDS	801				hypothetical protein
IHINPGCH_01234	CDS	198				hypothetical protein
IHINPGCH_01235	CDS	798				hypothetical protein
IHINPGCH_01236	CDS	1215	intS_1		COG0582	Prophage integrase IntS
IHINPGCH_01237	CDS	1278	xerD_2			Tyrosine recombinase XerD
IHINPGCH_01238	CDS	678				hypothetical protein
IHINPGCH_01239	CDS	1842				hypothetical protein
IHINPGCH_01240	CDS	198				hypothetical protein
IHINPGCH_01241	CDS	1032				hypothetical protein
IHINPGCH_01242	CDS	384				hypothetical protein
IHINPGCH_01243	CDS	198				hypothetical protein
IHINPGCH_01244	CDS	300				hypothetical protein
IHINPGCH_01245	CDS	204				hypothetical protein
IHINPGCH_01246	CDS	384				hypothetical protein
IHINPGCH_01247	CDS	270				hypothetical protein
IHINPGCH_01248	CDS	669				hypothetical protein
IHINPGCH_01249	CDS	183				hypothetical protein
IHINPGCH_01250	CDS	552	hin_1		COG1961	DNA-invertase hin
IHINPGCH_01251	CDS	159				hypothetical protein
IHINPGCH_01252	CDS	153				hypothetical protein
IHINPGCH_01253	tRNA	76				tRNA-Thr(cgt)
IHINPGCH_01254	CDS	1254	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
IHINPGCH_01255	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
IHINPGCH_01256	CDS	1056	phoE		COG3203	Outer membrane pore protein E
IHINPGCH_01257	CDS	402	crl			Sigma factor-binding protein Crl
IHINPGCH_01258	CDS	1245				hypothetical protein
IHINPGCH_01259	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IHINPGCH_01260	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
IHINPGCH_01261	CDS	615	prfB_1		COG1186	Peptide chain release factor RF2
IHINPGCH_01262	CDS	1140	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
IHINPGCH_01263	CDS	453	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
IHINPGCH_01264	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
IHINPGCH_01265	CDS	636	lafU		COG1360	Chemotaxis protein LafU
IHINPGCH_01266	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
IHINPGCH_01267	CDS	279				hypothetical protein
IHINPGCH_01268	CDS	357				hypothetical protein
IHINPGCH_01269	CDS	774	mepH_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
IHINPGCH_01270	CDS	261	dinJ			Antitoxin DinJ
IHINPGCH_01271	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
IHINPGCH_01272	CDS	741				hypothetical protein
IHINPGCH_01273	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
IHINPGCH_01274	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
IHINPGCH_01275	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
IHINPGCH_01276	CDS	447	ivy			Inhibitor of vertebrate lysozyme
IHINPGCH_01277	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
IHINPGCH_01278	CDS	1044				hypothetical protein
IHINPGCH_01279	CDS	450				hypothetical protein
IHINPGCH_01280	CDS	1209	rhsD_4		COG3209	Protein RhsD
IHINPGCH_01281	CDS	2505	rhsD_5		COG3209	Protein RhsD
IHINPGCH_01282	CDS	2142	vgrG1_2	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
IHINPGCH_01283	CDS	519	hcpA_1		COG3157	Major exported protein
IHINPGCH_01284	CDS	501				hypothetical protein
IHINPGCH_01285	CDS	225				hypothetical protein
IHINPGCH_01286	CDS	1476				hypothetical protein
IHINPGCH_01287	CDS	414				hypothetical protein
IHINPGCH_01288	CDS	1851				hypothetical protein
IHINPGCH_01289	CDS	1083				hypothetical protein
IHINPGCH_01290	CDS	1281				hypothetical protein
IHINPGCH_01291	CDS	525				hypothetical protein
IHINPGCH_01292	CDS	1332				hypothetical protein
IHINPGCH_01293	CDS	762				hypothetical protein
IHINPGCH_01294	CDS	2760	clpV1_1		COG0542	Protein ClpV1
IHINPGCH_01295	CDS	744				hypothetical protein
IHINPGCH_01296	CDS	1416				hypothetical protein
IHINPGCH_01297	CDS	3525				hypothetical protein
IHINPGCH_01298	CDS	1353				hypothetical protein
IHINPGCH_01299	CDS	483	hcpA_2		COG3157	Major exported protein
IHINPGCH_01300	CDS	915				hypothetical protein
IHINPGCH_01301	CDS	480				hypothetical protein
IHINPGCH_01302	CDS	786				hypothetical protein
IHINPGCH_01303	tRNA	77				tRNA-Asp(gtc)
IHINPGCH_01304	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
IHINPGCH_01305	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
IHINPGCH_01306	CDS	723	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
IHINPGCH_01307	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
IHINPGCH_01308	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
IHINPGCH_01309	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
IHINPGCH_01310	CDS	780				hypothetical protein
IHINPGCH_01311	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
IHINPGCH_01312	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IHINPGCH_01313	rRNA	1538				16S ribosomal RNA
IHINPGCH_01314	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
IHINPGCH_01315	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
IHINPGCH_01316	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
IHINPGCH_01317	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
IHINPGCH_01318	CDS	405	rcsF			Outer membrane lipoprotein RcsF
IHINPGCH_01319	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
IHINPGCH_01320	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
IHINPGCH_01321	CDS	582				hypothetical protein
IHINPGCH_01322	CDS	981				hypothetical protein
IHINPGCH_01323	CDS	711	nlpE		COG3015	Lipoprotein NlpE
IHINPGCH_01324	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
IHINPGCH_01325	CDS	546	yaeQ		COG4681	putative protein YaeQ
IHINPGCH_01326	CDS	201				hypothetical protein
IHINPGCH_01327	CDS	261	rof		COG4568	Protein rof
IHINPGCH_01328	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IHINPGCH_01329	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
IHINPGCH_01330	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
IHINPGCH_01331	CDS	960	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
IHINPGCH_01332	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IHINPGCH_01333	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IHINPGCH_01334	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
IHINPGCH_01335	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
IHINPGCH_01336	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
IHINPGCH_01337	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
IHINPGCH_01338	CDS	486	skp		COG2825	Chaperone protein Skp
IHINPGCH_01339	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
IHINPGCH_01340	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
IHINPGCH_01341	CDS	750	cdsA_1	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
IHINPGCH_01342	CDS	153				hypothetical protein
IHINPGCH_01343	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
IHINPGCH_01344	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IHINPGCH_01345	CDS	558	frr		COG0233	Ribosome-recycling factor
IHINPGCH_01346	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
IHINPGCH_01347	CDS	852	tsf		COG0264	Elongation factor Ts
IHINPGCH_01348	CDS	726	rpsB		COG0052	30S ribosomal protein S2
IHINPGCH_01349	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
IHINPGCH_01350	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
IHINPGCH_01351	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
IHINPGCH_01352	CDS	387				hypothetical protein
IHINPGCH_01353	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
IHINPGCH_01354	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
IHINPGCH_01355	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
IHINPGCH_01356	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IHINPGCH_01357	CDS	801	btuF		COG0614	Vitamin B12-binding protein
IHINPGCH_01358	CDS	624				hypothetical protein
IHINPGCH_01359	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
IHINPGCH_01360	CDS	1422	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
IHINPGCH_01361	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
IHINPGCH_01362	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
IHINPGCH_01363	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
IHINPGCH_01364	CDS	798	fhuC	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
IHINPGCH_01365	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
IHINPGCH_01366	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
IHINPGCH_01367	CDS	2430	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
IHINPGCH_01368	CDS	531	thpR	3.1.4.-	COG1514	RNA 2',3'-cyclic phosphodiesterase
IHINPGCH_01369	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
IHINPGCH_01370	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
